"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"IN THE NEWS! Great shoutout from @nytimes for our listing at 131 East 39th St! We heart this one- and so do buyers! https://t.co/BguugYPc96",FALSE,1,NA,2016-03-01 15:35:35,FALSE,NA,"704691563666997248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Thanks @nypost for another shout-out. We do love this #Chelsea #2BR https://t.co/ch8WxlZmYV https://t.co/Ob8WfVX7dl",FALSE,1,NA,2016-02-18 21:32:56,FALSE,NA,"700432837262987264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"In the news! @NYpost profiled our listing at https://t.co/CDs81p39EN -- check it out! https://t.co/jCXjKYScGY",FALSE,1,NA,2016-02-12 17:27:34,FALSE,NA,"698196762008424448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"OPEN HOUSE! High floor one-BR in the heart of Midtown: https://t.co/ijNvLizw2O",FALSE,0,NA,2016-01-29 18:34:23,FALSE,NA,"693140148243034112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"OPEN HOUSE! Don't miss this 2BR, 2BA in our favorite Chelsea building... https://t.co/ch8WxlHM7n",FALSE,0,NA,2016-01-26 18:49:45,FALSE,NA,"692056847960969216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Use RealDirect's RealPrice tool to find out how much your home is worth. https://t.co/0qzRoqfkDt",FALSE,2,NA,2016-01-22 17:19:57,FALSE,NA,"690584701329866752",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealDirect",1,FALSE,FALSE,NA,NA
"NEW LISTING! We just love the #EastVillage these days... showings begin this week for a great-priced 2BR https://t.co/ysnfwQcViS",FALSE,1,NA,2016-01-19 21:25:08,FALSE,NA,"689559236498571264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",2,FALSE,FALSE,NA,NA
"We share our bidding strategy for residential real estate. https://t.co/ChYU2T5RIw",FALSE,1,NA,2016-01-13 23:08:11,FALSE,NA,"687410843554856960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealDirect",0,FALSE,FALSE,NA,NA
"New York is only #4! Quelle surprise! https://t.co/Q0C1pKDuSD",FALSE,0,NA,2016-01-08 18:01:47,FALSE,NA,"685521797761118208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"PRICE DROP! Outdoor space in Williamsburg? Yes please! https://t.co/d27BUVT5XZ",FALSE,0,NA,2016-01-05 21:03:22,FALSE,NA,"684480332389834752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
